,Priv Union Members (%),us_inf,prop_rep,change_prop_not_on_strike_indicator,Wage_Increase_Indicator,instrument_calc
352,6.6,2.3,47.12091385720273,0,1,629471.2294377055
353,6.9,1.7,47.12091385720273,0,0,-819.7213698022597
354,7.1,1.0,53.98688404297523,0,0,74492.8880163
355,6.5,1.7,53.98688404297523,1,0,836409.6300106
356,5.5,2.1,47.272373538324196,1,0,-519.8589207500177
357,6.4,1.8,47.272373538324196,0,0,204785.69647556343
358,6.9,1.7,53.18637120715787,0,0,-226.53066851742858
359,5.7,1.8,53.18637120715787,0,0,46822.93348382424
360,5.1,2.2,53.65380999039956,0,0,7486264.2566336505
361,4.1,1.8,53.65380999039956,0,0,-557.7785618407918
362,5.2,2.1,46.50734288891184,0,0,2416409.7687963
363,4.0,2.2,46.50734288891184,0,0,9067380.167335546
364,3.8,1.7,50.546031566788294,0,0,1054767.5639651606
394,15.4,2.8,51.79635013715731,0,0,1561462.3035888479
395,15.4,3.0,51.79635013715731,0,0,39.00694733184409
396,15.4,2.7,43.915843711827144,0,0,413858.5088459497
397,14.6,2.4,43.915843711827144,0,1,3634548.8737547863
398,14.5,2.3,50.52645787497255,1,1,1797435.6229955857
399,13.9,2.1,50.52645787497255,1,0,330.18481484221456
400,14.1,2.4,43.4141096209079,1,0,32168173.954745002
401,13.7,2.6,43.4141096209079,0,0,-962.5119698005965
402,15.1,2.4,48.32654639536023,0,0,-264.5905577810625
403,12.9,1.4,48.32654639536023,1,0,5633855.028821601
404,12.1,1.8,45.536751816367705,0,1,120198.36703159507
405,11.8,2.2,45.536751816367705,1,1,-470.043286102
406,11.1,2.5,41.78109072603945,1,0,4235024.6718738
407,9.7,2.3,41.78109072603945,0,1,-64.1412309513889
408,11.0,2.3,37.36852384486476,1,1,857541.5183038311
409,10.9,1.7,37.36852384486476,0,1,-636.9562541850623
410,9.5,1.0,46.53522751591584,0,1,95357.35582750001
411,10.6,1.7,46.53522751591584,1,0,619202.8421448667
412,9.3,2.1,43.64887202451972,0,0,-528.7518197875386
413,10.0,1.8,43.64887202451972,0,0,-264.5523718151539
414,9.1,1.7,48.25852115553747,1,0,0.0
415,9.6,1.8,48.25852115553747,0,0,2712366.9777581
416,9.7,2.2,45.73717221692608,1,0,-744.421007106453
417,9.8,1.8,45.73717221692608,0,0,0.0
418,8.7,2.1,38.646770802677885,0,0,11673626.7696754
419,8.9,2.2,38.646770802677885,1,1,-297.02290341461855
420,8.5,1.7,41.12648356194057,0,0,-272.17371387649416
534,9.4,2.8,29.99245581643397,0,0,-124.30033044651164
535,9.3,3.0,29.99245581643397,0,0,67473.54898997105
536,9.0,2.7,32.392857750939875,0,1,-237.63027859814997
537,9.2,2.4,32.392857750939875,0,1,262258.76267192
538,9.9,2.3,23.683495880299905,0,0,273534.2346329742
539,10.3,2.1,23.683495880299905,0,0,-195.40596634157143
540,7.9,2.4,12.564064299122302,1,1,24492937.74870873
541,8.7,2.6,12.564064299122302,0,1,-405.82070158943236
542,7.6,2.4,13.082943675838592,1,0,605931.3022952278
543,7.9,1.4,13.082943675838592,0,0,906020.9914618363
544,7.7,1.8,14.86748728844679,0,0,14.685634204271892
545,7.4,2.2,14.86748728844679,0,0,122821.11169030982
546,8.2,2.5,8.848689854646175,0,0,-47.8806817775918
547,7.6,2.3,8.848689854646175,0,1,316.4324970789197
548,7.8,2.3,10.263020082210897,1,1,-174.71577995608698
549,8.8,1.7,10.263020082210897,0,0,-175.59200488163265
550,7.0,1.0,36.34048254359325,0,0,1564.3651344
551,7.1,1.7,36.34048254359325,0,0,-195.50218721293334
