,Priv Union Members (%),us_inf,change_prop_not_on_strike_indicator,Wage_Increase_Indicator,instrument_calc
627,16.6,1.4,0,0,6432673.4697473
628,15.9,1.8,0,0,25160.063018963527
629,14.4,2.2,0,0,219278.60274847335
630,13.7,2.5,1,0,3299516.927013097
631,13.9,2.3,0,1,1149058.6387198207
632,13.1,2.3,1,1,-94.48629981061777
633,12.2,1.7,0,1,-975.3641366259345
634,11.1,1.0,0,0,67980.43847400001
635,11.9,1.7,0,0,1212504.0540240998
636,11.3,2.1,0,0,-554.6663091577565
637,11.0,1.8,0,0,-595.0820649545954
638,9.9,1.7,0,1,88.735233425
639,11.1,1.8,1,0,4489964.144233047
640,10.1,2.2,0,1,8943386.97111442
641,11.3,1.8,0,1,-665.403514807768
642,11.0,2.1,1,1,8229839.4387777
643,9.8,2.2,1,1,12155549.187180802
644,11.1,1.7,0,0,-628.899181089489
646,12.5,2.8,0,0,1729223.6888247
647,12.2,3.0,1,0,193.76948079152544
648,12.9,2.7,0,0,736095.9053621863
649,13.5,2.4,0,0,-664.8368399004
650,11.6,2.3,1,1,1685353.5932901
651,12.8,2.1,1,0,-957.9460441126935
652,12.3,2.4,1,0,2179968.3019297
653,11.5,2.6,0,0,-417.3755921695122
654,10.8,2.4,0,0,-292.9552337716875
655,10.1,1.4,0,0,0.0
656,11.1,1.8,1,0,17295.1682727
657,9.7,2.2,1,0,-288.252804545
658,9.7,2.5,1,1,8383969.3307554005
659,9.6,2.3,1,0,-665.3943913297936
660,9.4,2.3,0,0,0.0
661,8.5,1.7,0,0,0.0
662,8.4,1.0,0,0,71368.565645
663,7.8,1.7,0,0,775812.2995252333
664,7.7,2.1,0,0,-238.59537865800002
665,8.4,1.8,1,0,-595.4322307091538
666,8.0,1.7,0,1,0.0
667,8.0,1.8,0,1,45112.571595
668,8.3,2.2,1,0,-237.43458734210526
669,9.2,1.8,0,1,0.0
670,8.9,2.1,0,1,2315062.602645
671,7.4,2.2,0,1,-238.66624769536082
672,7.5,1.7,1,0,0.0
674,13.7,2.8,0,0,2965411.7734583598
675,12.9,3.0,0,0,48.629348845557274
676,13.5,2.7,0,0,-762.9969141333177
677,13.1,2.4,1,1,-209.98001643566664
678,12.0,2.3,0,1,1026643.7460606999
679,13.1,2.1,0,0,58.84463552335714
680,12.1,2.4,1,0,33798283.34551078
681,11.7,2.6,0,0,-1267.5734072679882
682,11.1,2.4,0,0,-469.9337524789943
683,10.8,1.4,0,0,1891.0808685
684,10.9,1.8,1,0,15290.44831245
685,9.8,2.2,0,0,6011706.986056745
686,9.4,2.5,0,0,251.32797281383745
687,8.7,2.3,0,1,-439.6019921257682
688,9.3,2.3,1,1,7810678.142469756
689,8.0,1.7,0,1,-531.3781380651762
690,8.5,1.0,0,1,0.0
691,9.2,1.7,1,0,732686.5861198
692,7.2,2.1,0,0,-6.868877752679537
693,7.3,1.8,0,1,-355.87361392845787
694,6.5,1.7,0,1,52.530024125
695,6.6,1.8,0,1,-209.95200042279998
696,7.6,2.2,0,0,5294816.311703499
697,7.5,1.8,0,1,-210.11175840093253
698,6.4,2.1,0,1,15194381.9100651
699,8.2,2.2,0,1,7196065.5320971655
700,6.4,1.7,0,0,-188.64796985036494
