,Priv Union Members (%),state_inf,prop_rep,change_prop_not_on_strike_indicator,Wage_Increase_Indicator,instrument_calc
406,11.1,8.916535575008533,41.78109072603945,1,0,4235024.6718738
407,9.7,16.151854071461823,41.78109072603945,0,1,-64.1412309513889
408,11.0,14.553217183329647,37.36852384486476,1,1,857541.5183038311
409,10.9,0.1741737001214716,37.36852384486476,0,1,-636.9562541850623
410,9.5,11.978537056822924,46.53522751591584,0,1,95357.35582750001
411,10.6,10.226700634823448,46.53522751591584,1,0,619202.8421448667
412,9.3,6.757780433695282,43.64887202451972,0,0,-528.7518197875386
413,10.0,5.543994477706415,43.64887202451972,0,0,-264.5523718151539
414,9.1,7.256241999994173,48.25852115553747,1,0,0.0
415,9.6,1.275322287584646,48.25852115553747,0,0,2712366.9777581
416,9.7,2.945468394541062,45.73717221692608,1,0,-744.421007106453
417,9.8,3.327436077374446,45.73717221692608,0,0,0.0
534,9.4,10.443926186962504,29.99245581643397,0,0,-124.30033044651164
535,9.3,7.094947343146019,29.99245581643397,0,0,67473.54898997105
536,9.0,7.1075553318233675,32.392857750939875,0,1,-237.63027859814997
537,9.2,8.001206315711261,32.392857750939875,0,1,262258.76267192
538,9.9,2.659858866315523,23.683495880299905,0,0,273534.2346329742
539,10.3,7.119413377359818,23.683495880299905,0,0,-195.40596634157143
540,7.9,14.01041855700873,12.564064299122302,1,1,24492937.74870873
541,8.7,15.131223402402604,12.564064299122302,0,1,-405.82070158943236
542,7.6,1.2919498210184344,13.082943675838592,1,0,605931.3022952278
543,7.9,10.724876204274715,13.082943675838592,0,0,906020.9914618363
544,7.7,13.126564480771652,14.86748728844679,0,0,14.685634204271892
545,7.4,13.329493003385995,14.86748728844679,0,0,122821.11169030982
546,8.2,16.728128666769138,8.848689854646175,0,0,-47.8806817775918
547,7.6,8.600160183275163,8.848689854646175,0,1,316.4324970789197
548,7.8,19.706511546748317,10.263020082210897,1,1,-174.71577995608698
549,8.8,-0.35726745278797933,10.263020082210897,0,0,-175.59200488163265
550,7.0,14.02428835112557,36.34048254359325,0,0,1564.3651344
551,7.1,15.569456688812778,36.34048254359325,0,0,-195.50218721293334
552,7.4,5.831364967913921,21.909361107168028,0,0,1370489.12429312
553,6.8,6.181966630151736,21.909361107168028,0,0,-64.64571341005284
554,5.7,7.439285001879581,14.1119239213294,0,0,224585.6594815
555,6.3,-5.640190325844174,14.1119239213294,0,1,0.0
556,6.4,2.023812166857253,13.35151137933249,0,1,195217.9869467403
557,5.9,11.250351116782142,13.35151137933249,1,1,156.43651344
562,10.8,7.3207189651554705,50.746539407154856,0,0,247146.63207299839
563,9.1,10.401946253380089,50.746539407154856,1,0,-269.48303815327404
564,8.2,8.29981843928207,46.4947582576125,1,0,-136.69708697902678
565,8.7,4.917207989708672,46.4947582576125,0,1,409972.86621019995
566,8.3,6.765007752300756,45.47582242633613,0,1,556979.24723658
567,8.8,8.45185998132212,45.47582242633613,0,0,-274.1504396785072
568,7.8,7.520513634856374,44.442702894594255,1,0,25610860.896522216
569,7.8,8.601496079564065,44.442702894594255,0,0,-351.2199057895609
570,8.6,7.879524753695977,45.38033274406264,0,0,-136.98825356554306
571,9.2,10.984405272624919,45.38033274406264,0,0,2392169.1183102
572,6.0,9.92086960543861,39.77031488515744,0,0,-121.07996810857142
573,7.4,16.19478712977791,39.77031488515744,0,0,252.90090113
574,7.5,15.293470164330891,32.145624094022935,0,0,1593538.9145244155
575,7.2,16.439685636071477,32.145624094022935,0,1,999146.1902045636
576,6.6,27.903131136033778,30.526567363984576,0,0,268578.1925221581
577,7.3,0.07924280528610606,30.526567363984576,0,1,234.97139171042306
578,6.1,10.076524321552771,36.935433685096235,0,1,618555.0283892872
579,6.6,16.712322493776387,36.935433685096235,0,0,207968.45766250402
580,5.5,9.12724607633768,33.20059376974946,0,0,-205.9961525807318
581,5.2,-0.5404639545325773,33.20059376974946,1,0,178616.71785299998
582,5.2,3.7610705446256443,41.361403187364694,0,0,327049.30375356844
583,4.6,-2.4664730993905204,41.361403187364694,0,1,300594.6595041125
584,5.6,10.251792506801838,35.5309676502034,0,1,138005.76323251816
